rm_id,rm_name,rm_img,rm_ingredients,rm_type,,,,,,,,,
1,Awesome Day,awesome-day.png,"""[7, 10, 35, 39]""",juice,,,,,,,,,
2,Super Power,super-power.png,"""[41, 3, 39]""",juice,,,,,,,,,
3,Happy Fever,happy-fever.png,"""[10, 41, 35, 26]""",juice,,,,,,,,,
4,Tropical Dream,tropical-dream.png,"""[37, 45, 29, 36]""",juice,,,,,,,,,
5,Crazy Face,crazy-face.png,"""[28, 41, 35, 36, 56]""",juice,,,,,,,,,
6,Heart Beet,heart-beet.png,"""[6, 10, 26]""",juice,,,,,,,,,
7,Ho ho Holiday,ho-ho-holiday.png,"""[3, 14]""",juice,,,,,,,,,
8,Santa on Fire,santa-on-fire.png,"""[57, 10, 28, 16]""",juice,,,,,,,,,
9,Christmas Tree,christmas-tree.png,"""[33, 3, 13, 26, 17 ]""",juice,,,,,,,,,
10,Summertime,summertime.png,"""[20, 37, 49, 16]""",zmoothie,,,,,,,,,
11,Green Machine,green-machine.png,"""[33, 52, 4, 41, 32, 31]""",smoothie,,,,,,,,,
12,Strawsome ,strawsome.png,"""[63, 4, 54,41]""",smoothie,,,,,,,,,
13,Eggselent Blue,eggselent-blue.png,"""[63, 8, 24]""",smoothie,,,,,,,,,
14,BreakFeast,breakfeast.png,"""[38, 5, 49, 43]""",smoothie,,,,,,,,,
15,Coco Land,coco-land.png,"""[20, 5, 19, 31]""",smoothie,,,,,,,,,
16,Go Green Or Go Home,go-green.png,"""[52, 9, 13,5]""",smoothie,,,,,,,,,
17,Spiritual,spiritual.png,"""[5, 20, 37, 53]""",smoothie,,,,,,,,,
18,Chocolate Swirl,chocolate-swirl.png,"""[58, 5, 18]""",smoothie,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
