ingredient_id,ingredient_sv,ingredient_en,ingredient_img,juice_ok,ingredient_color,smoothie_base,juice_base,ingredient_category 
1,ananas,pineapple,images/ingredients/pineapple.png,true,yellow,false,true,fruit
2,apelsin,orange,images/ingredients/orange.png,true,orange,false,true,fruit 
3,avocado,avocado,images/ingredients/avocado.png,false,green,false,false,vegetable
4,banan,banana,images/ingredients/banana.png,false,yellow,true,false,fruit 
5,blåbär,blueberry,images/ingredients/blueberry.png,true,blue,false,false,fruit
6,blodapelsin,blood orange,images/ingredients/blood-orange.png,true,red,false,true,fruit
7,blomkål,cauliflower,images/ingredients/cauliflower.png,true,white,false,false,vegetable
8,broccoli,broccoli,images/ingredients/broccoli.png,true,green,false,false,vegetable
9,cashewnötter,cashew nuts,images/ingredients/cashew-nuts.png,false,white,false,false,piff
10,chiafrön,chia seeds,images/ingredients/chia-seeds.png,false,black,false,false,piff
11,chili,chili,images/ingredients/chili.png,true,red,false,false,piff
12,citron,lemon,images/ingredients/lemon.png,true,yellow,false,false,fruit 
13,dadlar,dates,images/ingredients/dates.png,false,brown,false,false,other
14,druva,grape,images/ingredients/grapes-green.png,true,green,false,false,fruit
15,grapefrukt,grapefruit,images/ingredients/grapefruit.png,true,pink,false,true,fruit
16,grönkål,kale,images/ingredients/kale.png,true,green,false,true,vegetable
17,guava,guava,images/ingredients/guava.png,true,pink,false,false,fruit
18,hallon,raspberry,images/ingredients/raspberry.png,true,red,false,false,fruit
19,hasselnötter,hazelnut,images/ingredients/hazelnut.png,false,brown,false,false,piff
20,havredryck,oat milk,images/ingredients/oat-milk.png,false,white,true,false,other
21,honung,honey,images/ingredients/honey.png,true,yellow,false,false,piff
22,ingefära,ginger,images/ingredients/ginger.png,true,yellow,false,false,piff
23,is,ice,images/ingredients/ice.png,true,white,false,false,other
24,jordgubbe,strawberry,images/ingredients/strawberry.png,true,red,false,false,fruit
25,jordnötssmör,peanut butter,images/ingredients/peanut-butter.png,false,brown,false,false,other
26,kaffe,coffee,images/ingredients/coffee.png,true,black,false,false,other
27,kakao,cocoa,images/ingredients/cocoa.png,true,brown,false,false,piff
28,kanel,cinnamon,images/ingredients/cinnamon.png,true,brown,false,false,piff
30,keso,cottage cheese,images/ingredients/cottage-cheese.png,false,white,true,false,other
31,kiwi,kiwi,images/ingredients/kiwi.png,true,green,false,false,fruit
32,kokosmjölk,coconut milk,images/ingredients/coconut-milk.png,false,white,true,false,other
33,kokosnöt,coconut,images/ingredients/coconut.png,true,white,false,false,piff
34,körsbär,cherry,images/ingredients/cherry.png,true,red,false,false,fruit
35,lime,lime,images/ingredients/lime.png,true,green,false,false,fruit 
36,linfrön,flax seeds,images/ingredients/flax-seeds.png,false,brown,false,false,piff
37,mandel,almond,images/ingredients/almond.png,true,brown,false,false,piff
38,mandelmjölk,almond milk,images/ingredients/almond-milk.png,false,white,true,false,other
39,mango,mango,images/ingredients/mango.png,true,yellow,true,false,fruit
40,mjölk,milk,images/ingredients/milk.png,false,white,true,false,other
41,morot,carrot,images/ingredients/carrot.png,true,orange,false,true,vegetable
42,mynta,mint leaves,images/ingredients/mint.png,true,green,false,false,piff
29,plommon,prune,images/ingredients/prune.png,true,purple,false,false,fruit
44,persika,peach,images/ingredients/peach.png,true,orange,false,false,fruit
45,proteinpulver av vassle,whey protein powder,images/ingredients/whey-protein-powder.png,false,white,false,false,other
46,pumpa,pumpkin,images/ingredients/pumpkin.png,true,orange,false,false,vegetable
43,päron,pear,images/ingredients/pear-green.png,true,green,false,true,fruit
47,rödbeta,beet,images/ingredients/beet.png,true,red,false,false,vegetable
48,russin,raisins,images/ingredients/raisins.png,false,brown,false,false,other
49,selleri,celery,images/ingredients/celery.png,true,green,false,false,vegetable
50,socker,sugar,images/ingredients/sugar.png,true,white,false,false,piff
51,sodavatten,soda water,images/ingredients/soda-water.png,true,lightblue,false,false,other
52,sojadryck,soy milk,images/ingredients/soy-milk.png,false,white,true,false,other
53,spenat,spinach,images/ingredients/spinach.png,true,green,true,false,vegetable
54,spirulina,spirulina,images/ingredients/spirulina.png,false,green,false,false,piff
55,tabasco,tabasco,images/ingredients/tabasco.png,true,red,false,false,piff
56,tomat,tomato,images/ingredients/tomato.png,true,red,false,true,vegetable
57,valnötter,walnut,images/ingredients/walnut.png,true,brown,false,false,piff
58,vaniljglass,vanilla ice cream,images/ingredients/vanilla-ice-cream.png,false,white,true,false,other
59,vatten,water,images/ingredients/water.png,true,lightblue,false,false,other
60,veganskt proteinpulver,vegan protein powder,images/ingredients/vegan-protein-powder.png,false,white,false,false,other
61,yoghurt,yoghurt,images/ingredients/yoghurt.png,false,white,true,false,other
62,ägg,egg,images/ingredients/egg.png,false,white,false,false,other
63,äpple,apple,images/ingredients/apple.png,true,green,false,true,fruit
